call,poison_groups,poison_reward_mean,poison_std_mean,hardneg_groups,hardneg_reward_mean,hardneg_std_mean
0,80,0.1828,0.3105,0,,
1,72,0.2760,0.3914,0,,
2,24,0.2031,0.3228,0,,
3,56,0.3036,0.4058,0,,
4,52,0.2668,0.3912,0,,
5,64,0.3457,0.4077,0,,
6,72,0.3264,0.4014,0,,
7,40,0.3125,0.4022,0,,
8,52,0.3125,0.4295,0,,
9,72,0.3194,0.3877,0,,
10,44,0.4318,0.4031,0,,
11,76,0.4095,0.4087,0,,
12,56,0.3549,0.3987,0,,
13,56,0.3951,0.4513,0,,
14,36,0.3889,0.4389,0,,
15,60,0.4646,0.4354,0,,
16,48,0.4714,0.4322,0,,
17,40,0.5156,0.4365,0,,
18,44,0.5227,0.4284,0,,
19,56,0.5134,0.4525,0,,
20,72,0.6059,0.4184,0,,
21,72,0.5503,0.4322,0,,
22,64,0.5273,0.4292,0,,
23,32,0.5508,0.4386,0,,
24,44,0.6420,0.4301,0,,
25,48,0.6380,0.4203,0,,
26,52,0.5889,0.4068,0,,
27,40,0.6375,0.3927,0,,
28,60,0.6833,0.4083,0,,
29,60,0.6146,0.4083,0,,
30,52,0.5962,0.4483,0,,
31,44,0.6534,0.4113,0,,
32,64,0.6367,0.4013,0,,
33,64,0.6660,0.4323,0,,
34,48,0.6719,0.4136,0,,
35,44,0.7188,0.3931,0,,
36,52,0.7212,0.3983,0,,
37,56,0.6004,0.4014,0,,
38,60,0.7063,0.3973,0,,
39,52,0.6851,0.3968,0,,
40,56,0.6205,0.4056,0,,
41,52,0.6611,0.4174,0,,
42,44,0.6562,0.3979,0,,
43,44,0.7159,0.3959,0,,
44,52,0.6659,0.3884,0,,
45,52,0.6995,0.3837,0,,
46,40,0.6969,0.3942,0,,
47,52,0.6106,0.4237,0,,
48,48,0.7292,0.3794,0,,
49,40,0.6844,0.4127,0,,
50,48,0.6458,0.4120,0,,
51,52,0.6803,0.3946,0,,
52,40,0.6813,0.3888,0,,
53,36,0.6493,0.4229,0,,
54,44,0.6903,0.3979,0,,
55,64,0.6680,0.4055,0,,
56,52,0.6947,0.3982,0,,
57,44,0.6080,0.4371,0,,
58,32,0.7031,0.4068,0,,
59,52,0.6514,0.4416,0,,
60,48,0.7005,0.4154,0,,
61,40,0.6250,0.4398,0,,
62,40,0.7281,0.3421,0,,
63,76,0.7089,0.3828,0,,
64,40,0.5719,0.4258,0,,
65,36,0.7708,0.3454,0,,
66,64,0.6387,0.4222,0,,
67,36,0.7014,0.4059,0,,
68,52,0.6611,0.3903,0,,
69,52,0.7163,0.3834,0,,
70,64,0.7090,0.3884,0,,
71,48,0.6979,0.4203,0,,
72,52,0.6490,0.4038,0,,
73,44,0.7017,0.4037,0,,
74,48,0.7240,0.3770,0,,
75,68,0.6875,0.3761,0,,
76,40,0.7125,0.4043,0,,
77,48,0.6615,0.4176,0,,
78,40,0.7406,0.3647,0,,
79,44,0.7074,0.3863,0,,
80,28,0.7098,0.3713,0,,
81,64,0.7344,0.3787,0,,
82,52,0.6923,0.3849,0,,
83,48,0.7604,0.3354,0,,
84,52,0.6803,0.3911,0,,
85,56,0.6942,0.3722,0,,
86,24,0.7708,0.3741,0,,
87,64,0.7324,0.3819,0,,
88,60,0.7500,0.3739,0,,
89,36,0.6944,0.3689,0,,
90,44,0.6761,0.3996,0,,
91,52,0.7380,0.3615,0,,
92,52,0.7476,0.3672,0,,
93,68,0.7316,0.3868,0,,
94,52,0.7115,0.3949,0,,
95,44,0.7670,0.3971,0,,
96,44,0.6875,0.3995,0,,
97,68,0.7316,0.3827,0,,
98,56,0.6763,0.3877,0,,
99,56,0.7188,0.4109,0,,
100,60,0.7042,0.3662,0,,
101,52,0.7668,0.3401,0,,
102,60,0.7042,0.4014,0,,
103,48,0.8177,0.2979,0,,
104,64,0.7266,0.4070,0,,
105,68,0.7243,0.3739,0,,
106,36,0.7396,0.3496,0,,
107,44,0.7415,0.3710,0,,
108,44,0.6903,0.3989,0,,
109,20,0.7000,0.3994,0,,
110,56,0.7656,0.3371,0,,
111,60,0.7312,0.3671,0,,
112,68,0.6949,0.3855,0,,
113,40,0.7469,0.3669,0,,
114,48,0.7891,0.3257,0,,
115,64,0.7461,0.3811,0,,
116,64,0.6934,0.4076,0,,
117,72,0.7153,0.4042,0,,
118,56,0.7054,0.3842,0,,
119,48,0.6849,0.3933,0,,
120,48,0.7526,0.3718,0,,
121,28,0.7277,0.3762,0,,
122,44,0.7500,0.3665,0,,
123,64,0.7168,0.3862,0,,
124,52,0.7500,0.3433,0,,
125,40,0.7781,0.3614,0,,
126,32,0.6953,0.3944,0,,
127,56,0.7321,0.3759,0,,
128,44,0.7045,0.4089,0,,
129,52,0.7332,0.4167,0,,
130,32,0.6914,0.4142,0,,
131,68,0.7537,0.3671,0,,
132,72,0.7552,0.3570,0,,
133,52,0.7308,0.3868,0,,
134,36,0.7465,0.3463,0,,
135,60,0.7604,0.3416,0,,
136,44,0.7955,0.3397,0,,
137,40,0.8063,0.3121,0,,
138,84,0.7351,0.3765,0,,
139,44,0.7244,0.3738,0,,
140,64,0.7520,0.3621,0,,
141,68,0.7555,0.3734,0,,
142,36,0.7569,0.3446,0,,
143,28,0.7902,0.3168,0,,
144,72,0.7292,0.3669,0,,
145,48,0.7370,0.3853,0,,
146,52,0.7740,0.3619,0,,
147,36,0.7361,0.4082,0,,
148,36,0.7986,0.3418,0,,
149,64,0.7168,0.3904,0,,
150,48,0.7917,0.3336,0,,
151,20,0.7000,0.4259,0,,
152,20,0.8375,0.2669,0,,
153,60,0.7833,0.3111,0,,
154,56,0.7143,0.4033,0,,
155,24,0.7969,0.3543,0,,
